Date,C. siliqua,O. styrax,P. halepensis,A. foetida,C. azarolus,P. palaestina,C. villosa,P. lentiscus,P. dulcis,S. spinosum,Annual herbaceous,R. lycioides,O. europaea,Q. calliprinos,Clusters.EV_unclear,Clusters.DS,Clusters.DW_EV,Weighted_Clusters.EV_unclear,Weighted_Clusters.DS,Weighted_Clusters.DW_EV
18/11/2015,0.232743266,0.062507317,0.171702214,0.021943959,-0.022556391,0.197539072,0.038897192,0.201785639,0.008720626,0.013070935,0.107636271,0.042588598,0.18251779,0.247204419,0.211788875,0.042154943,0.158424707,0.211788875,0.042154943,0.158424707
02/12/2015,0.392233115,0.177194063,0.307753744,0.2093138,0.13261649,0.326309332,0.20146148,0.392251725,0.17465858,0.229589073,0.19776584,0.228383955,0.320600819,0.41099469,0.363232734,0.209374002,0.327040106,0.363232734,0.209374002,0.327040106
16/12/2015,0.342955963,0.138075098,0.228944847,0.179873293,0.083636366,0.262606887,0.176781374,0.325017711,0.122099636,0.168037466,0.234366421,0.165615226,0.295924713,0.34865381,0.303817819,0.185072438,0.267494699,0.303817819,0.185072438,0.267494699
30/12/2015,0.29065731,0.108616541,0.222361429,0.157917433,0.058419243,0.1338618,0.163322333,0.276387052,0.072022051,0.123522509,0.222555831,0.107364883,0.216615755,0.3026915,0.267212455,0.162462886,0.211083864,0.267212455,0.162462886,0.211083864
13/01/2016,0.323809642,0.121403029,0.25982496,0.219195993,0.05882353,0.090838519,0.216793238,0.318948659,0.045238772,0.151101174,0.271813299,0.1053455,0.23489044,0.353916937,0.301844751,0.209080765,0.229998426,0.301844751,0.209080765,0.229998426
28/01/2016,0.29768886,0.055726545,0.228357019,0.232289536,0.071999997,0.062850391,0.207378528,0.28333192,0.028999124,0.125513147,0.26640555,0.083492742,0.216650818,0.319489074,0.273888377,0.198674204,0.201780793,0.273888377,0.198674204,0.201780793
10/02/2016,0.340885306,0.152052116,0.237233871,0.346898468,0.174757287,0.158122924,0.282555182,0.302827937,0.108113722,0.150259386,0.325769729,0.14946008,0.311486685,0.314785397,0.30530347,0.262030972,0.239816338,0.30530347,0.262030972,0.239816338
25/02/2016,0.352848202,0.256204929,0.241259203,0.400002819,0.094339624,0.148158923,0.156692827,0.319538408,0.147525245,0.174572879,0.295939362,0.175942702,0.30887591,0.332875478,0.314541531,0.215449903,0.259845102,0.314541531,0.215449903,0.259845102
08/03/2016,0.299385165,0.245003719,0.19769637,0.368742104,0.016000001,0.132305962,-0.016016014,0.253780611,0.186931697,0.111452038,0.22692427,0.199508225,0.287234505,0.267279507,0.264477072,0.107899376,0.231702765,0.264477072,0.107899376,0.231702765
22/03/2016,0.275823189,0.260889642,0.169616355,0.352933849,0.115107916,0.236122643,0.169710012,0.245559779,0.216564008,0.178424441,0.178218057,0.231380417,0.300061511,0.223395281,0.239364127,0.19543874,0.2326129,0.239364127,0.19543874,0.2326129
