TS,NDVI lowess MODIS,NDVI lowess S2,NDVI lowess L8,NDVI lowess NSRS_1,NDVI lowess NSRS_2,NDVI lowess NSRS_3,NDVI lowess NSRS_1_B,NDVI lowess NSRS_2_B,NDVI lowess NSRS_3_B,TEMP IMS,RAINFALL[mm] 121702 IMS,RAINFALL[mm] 121710 IMS
1546300800,0.6868180133619157,0.7429747914298876,0.67,,,,,,,,,
1546560000,,,,,,,,,,,,
1546992000,0.6867828004587172,,,,,,,,,,,
1547078400,0.686760843531201,,0.724,,,,,,,,,
1547164800,,,,,,,,,,,,
1547251200,0.6867042086263939,,,,,,,,,,,
1547337600,,,,,,,,,,,,
1547510400,0.6865854609172206,,,,,,,,,,,
1547769600,,,,,,,,,,,,
1548028800,,0.6718288683982753,,,,,,,,,,
1548115200,,,,,,,,,,,,
1548201600,0.686045121869628,,,,,,,,,,,
1548288000,0.6859526478531318,,,,,,,,,,,
1548374400,,,,,,,,,,,,
1548460800,,0.6806291885797048,0.657,,,,,,,,,
1548460800,,0.6806291885797048,0.636,,,,,,,,,
1548547200,,,,,,,,,,,,
1548806400,0.6852742071417744,,,,,,,,,,,
1548892800,,0.691530157200116,,,,,,,,,,
1549065600,0.6848547550048486,,0.705,,,,,,,,,
1549152000,0.684703457937491,,,,,,,,,,,
1549238400,0.6845466237701728,,,,,,,,,,,
1549324800,,0.7026769832571191,,,,,,,,,,
1549584000,,,,,,,,,,,,
1549670400,,,,,,,,,,,,
1549843200,,,,,,,,,,,,
1550016000,0.6829063633525836,,,,,,,,,,,
1550361600,0.6820651235645372,,,,,,,,,,,
1550534400,,,,,,,,,,,,
1550707200,,,,,,,,,,,,
1550793600,,,,,,,,,,,,
1550880000,,,,,,,,,,,,
1550966400,,,,,,,,,,,,
1551052800,,,,,,,,,,,,
1551139200,,,,,,,,,,,,
1551225600,,,,,,,,,,,,
1551657600,,,,,,,,,,,,
1551744000,,,,,,,,,,,,
1551830400,,,0.679,,,,,,,,,
1551916800,0.6782720711745992,,,,,,,,,,,
1552003200,0.6781288815328493,,,,,,,,,,,
1552089600,,,,,,,,,,,,
1552176000,,,,,,,,,,,,
1552348800,,,,,,,,,,,,
1552608000,,,,,,,,,,,,
1552780800,,,,,,,,,,,,
1552867200,0.6738274481578161,,,,,,,,,,,
1552953600,0.6731294022232828,,,,,,,,,,,
1553040000,0.6725982174982338,,,,,,,,,,,
1553126400,,,,,,,,,,,,
1553212800,,,0.637,,,,,,,,,
1553558400,0.6656353836341947,,,,,,,,,,,
1553644800,,,,,,,,,,,,
1553731200,0.6632859176265408,,,,,,,,,,,
1553904000,0.661152689522614,,,,,,,,,,,
1554163200,0.6569995830404766,,,,,,,,,,,
1554249600,0.6558093935564921,,,,,,,,,,,
1554336000,0.6544970556471403,,,,,,,,,,,
1554681600,,,,,,,,,,,,
1554768000,0.638083292931941,,,,,,,,,,,
1554854400,,,,,,,,,,,,
1554940800,0.630193720201682,0.6916396616471145,,,,,,,,,,
1555027200,,,,,,,,,,,,
1555113600,,,,,,,,,,,,
1555459200,,,,,,,,,,,,
1555545600,,,,,,,,,,,,
1555632000,,,,,,,,,,,,
1555718400,,,,,,,,,,,,
1555891200,,,,,,,,,,,,
1555977600,,,0.652,,,,,,,,,
1556064000,,,,,,,,,,,,
1556236800,,,,,,,,,,,,
1556323200,,,,,,,,,,,,
1556409600,0.5679659430711939,,,,,,,,,,,
1556496000,,,,,,,,,,,,
1556582400,,,,,,,,,,,,
1556668800,,,,,,,,,,,,
1556841600,,,,,,,,,,,,
1556928000,0.5485826436168213,,,,,,,,,,,
1557014400,,,,,,,,,,,,
1557100800,,,,,,,,,,,,
1557273600,,,,,,,,,,,,
1557446400,,,,,,,,,,,,
1557532800,0.5294579724648822,,,,,,,,,,,
1557619200,,,,,,,,,,,,
1557705600,,,,,,,,,,,,
1557792000,0.521714440996201,,,,,,,,,,,
1557878400,,,,,,,,,,,,
1557964800,,,,,,,,,,,,
1558051200,,,,,,,,,,,,
1558137600,,,0.557,,,,,,,,,
1558137600,,,0.548,,,,,,,,,
1558224000,,,,,,,,,,,,
1558310400,,,,,,,,,,,,
1558396800,,,,,,,,,,,,
1558483200,,,,,,,,,,,,
1558569600,0.49765858376015226,,,,,,,,,,,
1558828800,,,,,,,,,,,,
1558915200,,,,,,,,,,,,
1559001600,0.4848689615837785,,,,,,,,,,,
1559088000,,,,,,,,,,,,
1559174400,,,,,,,,,,,,
1559260800,,,,,,,,,,,,
1559347200,,,,,,,,,,,,
1559433600,,,,,,,,,,,,
1559520000,,,0.511,,,,,,,,,
1559520000,,,0.504,,,,,,,,,
1559606400,,,,,,,,,,,,
1559692800,,,,,,,,,,,,
1559865600,,,,,,,,,,,,
1560038400,0.45317911963878516,,,,,,,,,,,
1560124800,,,,,,,,,,,,
1560211200,,,,,,,,,,,,
1560297600,0.44857718503446753,,,,,,,,,,,
1560384000,,,,,,,,,,,,
1560470400,0.44593765117297357,,,,,,,,,,,
1560556800,,,,,,,,,,,,
1560643200,,,,,,,,,,,,
1560729600,,,,,,,,,,,,
1560816000,,,,,,,,,,,,
1560902400,,,0.508,,,,,,,,,
1560902400,,,0.51,,,,,,,,,
1560988800,,0.42754681704398106,,,,,,,,,,
1561248000,,,,,,,,,,,,
1561334400,,,,,,,,,,,,
1561420800,,,,,,,,,,,,
1561507200,,,0.5,,,,,,,,,
1561593600,,,,,,,,,,,,
1561680000,,,,,,,,,,,,
1561852800,,,,,,,,,,,,
1562025600,,,,,,,,,,,,
1562112000,,,,,,,,,,,,
1562198400,,,,,,,,,,,,
1562284800,,,,,,,,,,,,
1562371200,0.4057669479833228,,,,,,,,,,,
1562544000,,,,,,,,,,,,
1562630400,,,,,,,,,,,,
1562716800,,,,,,,,,,,,
1562803200,0.39927044184729094,,,,,,,,,,,
1562889600,,,0.458,,,,,,,,,
1563062400,,,,,,,,,,,,
1563148800,,,,,,,,,,,,
1563235200,,,,,,,,,,,,
1563321600,0.3957125488635324,,,,,,,,,,,
1563494400,,,,,,,,,,,,
1563667200,,,0.506,,,,,,,,,
1563667200,,,0.506,,,,,,,,,
1563753600,0.39199144459234914,,,,,,,,,,,
1563840000,,,,,,,,,,,,
1563926400,,,,,,,,,,,,
1564012800,,,,,,,,,,,,
1564099200,,,,,,,,,,,,
1564185600,,,,,,,,,,,,
1564272000,,,0.464,,,,,,,,,
1564358400,,,,,,,,,,,,
1564444800,,,,,,,,,,,,
1564531200,,,,,,,,,,,,
1564617600,,,,,,,,,,,,
1564876800,,0.45299999999999935,,,,,,,,,,
1565049600,,,0.48,,,,,,,,,
1565049600,,,0.477,,,,,,,,,
1565136000,,,,,,,,,,,,
1565222400,,,,,,,,,,,,
1565654400,,,0.457,,,,,,,,,
1565740800,0.3848971669626306,,,,,,,,,,,
1565913600,,,,,,,,,,,,
1566172800,,0.4439999999999714,,,,,,,,,,
1566259200,,,,,,,,,,,,
1566345600,,,,,,,,,,,,
1566432000,,,0.484,,,,,,,,,
1566432000,,,0.477,,,,,,,,,
1566518400,,,,,,,,,,,,
1566604800,,,,,,,,,,,,
1566777600,,,,,,,,,,,,
1566864000,0.38579748854419954,,,,,,,,,,,
1566950400,,,,,,,,,,,,
1567123200,0.38686782675001546,,,,,,,,,,,
1567209600,,,,,,,,,,,,
1567296000,,,,,,,,,,30.6,,
1567382400,,,,,,,,,,30.4,,
1567468800,,0.44025000000005043,,,,,,,,29.9,,
1567555200,0.38955569608184515,,,,,,,,,29.6,,
1567641600,,,,,,,,,,29.9,,
1567728000,,,,,,,,,,29.4,,
1567814400,,,,,,,,,,29.4,,
1567900800,,,,,,,,,,29.4,,
1567987200,,,,,,,,,,29.4,,
1568073600,0.3912227139855849,,,,,,,,,29.3,,
1568160000,,,,,,,,,,29.4,,
1568246400,,,,,,,,,,29.5,,
