DATE,RAINFALL[mm],RAIN_CODE
04/01/2013,15.3,0
05/01/2013,6.7,0
06/01/2013,1.7,0
07/01/2013,50.6,0
08/01/2013,49.2,0
09/01/2013,14.5,0
10/01/2013,8.9,0
26/01/2013,1.9,0
28/01/2013,13.6,0
29/01/2013,9.7,0
30/01/2013,17.7,0
31/01/2013,25.8,0
01/02/2013,20.4,0
05/02/2013,0.5,0
06/02/2013,0.7,0
11/02/2013,0.2,0
16/02/2013,1.2,0
17/02/2013,1.4,0
18/02/2013,0.2,0
16/03/2013,1.2,0
17/03/2013,1.2,0
04/04/2013,1,0
09/04/2013,0.3,0
16/04/2013,0.5,0
17/04/2013,0.1,0
20/04/2013,10.2,0
21/04/2013,0.6,0
22/04/2013,0.1,0
13/05/2013,0.4,0
14/05/2013,0.7,0
21/09/2013,13,0
01/11/2013,5.9,0
09/11/2013,0.4,0
04/12/2013,16.6,0
05/12/2013,41.8,0
06/12/2013,0.1,0
08/12/2013,10.8,0
10/12/2013,9.4,0
11/12/2013,86.6,0
12/12/2013,69.4,0
13/12/2013,38.4,0
14/12/2013,6.7,0
30/12/2013,5.6,0
31/12/2013,0.1,0
10/01/2014,3.9,0
02/02/2014,0.2,0
04/02/2014,0.3,0
14/02/2014,2.3,0
15/02/2014,3.9,0
16/02/2014,0.1,0
08/03/2014,0.6,0
09/03/2014,21.4,0
11/03/2014,6.5,0
12/03/2014,30,0
13/03/2014,34.4,0
14/03/2014,5,0
15/03/2014,0.1,0
07/05/2014,62.9,0
08/05/2014,0.1,0
08/10/2014,0.1,0
15/10/2014,0.5,0
18/10/2014,0.2,0
19/10/2014,4.6,0
20/10/2014,0.1,0
30/10/2014,0.8,0
31/10/2014,45.4,0
01/11/2014,0.9,0
03/11/2014,9.3,0
04/11/2014,4.1,0
15/11/2014,2.8,0
16/11/2014,17.2,0
17/11/2014,2.7,0
21/11/2014,6.2,0
22/11/2014,0.3,0
23/11/2014,10.6,0
24/11/2014,0.3,0
25/11/2014,40.3,0
26/11/2014,76.8,0
27/11/2014,8.8,0
08/12/2014,0.2,0
12/12/2014,2.7,0
13/12/2014,12.9,0
14/12/2014,2.6,0
20/12/2014,3.4,0
22/12/2014,8.2,0
02/01/2015,1.3,0
03/01/2015,23.7,0
04/01/2015,4.9,0
07/01/2015,33.4,0
08/01/2015,32.8,0
09/01/2015,14.9,0
10/01/2015,23.3,0
11/01/2015,0.5,0
14/01/2015,0.6,0
15/01/2015,32.2,0
16/01/2015,3.4,0
17/01/2015,0.6,0
11/02/2015,0.3,0
13/02/2015,9.5,0
15/02/2015,10.4,0
17/02/2015,0.3,7
18/02/2015,10.8,7
19/02/2015,45.7,7
20/02/2015,27,0
21/02/2015,10.2,0
03/03/2015,0.1,0
04/03/2015,0.5,0
11/03/2015,7.3,0
12/03/2015,0.2,0
28/03/2015,1.4,0
31/03/2015,2,0
01/04/2015,2.3,0
10/04/2015,0.8,0
11/04/2015,14.2,0
12/04/2015,11.6,0
15/04/2015,2.2,0
16/04/2015,0.6,0
23/04/2015,0.2,0
14/05/2015,0.1,0
06/10/2015,2.6,0
07/10/2015,4.9,0
08/10/2015,1.8,0
19/10/2015,0.3,0
25/10/2015,6.2,0
26/10/2015,8.7,0
27/10/2015,4.2,0
28/10/2015,2.9,0
29/10/2015,1.3,0
03/11/2015,2.5,0
04/11/2015,1.7,0
05/11/2015,3.2,0
06/11/2015,11.7,0
07/11/2015,0.4,0
08/11/2015,0.1,0
09/11/2015,0.8,0
10/11/2015,4,0
16/11/2015,0.2,0
17/11/2015,2.7,0
18/11/2015,0.1,0
30/11/2015,9.9,0
01/12/2015,4.3,0
