DATE,TEMP
01/01/2013,19.5
02/01/2013,19.1
03/01/2013,21
04/01/2013,19.4
05/01/2013,16.5
06/01/2013,15
07/01/2013,14
08/01/2013,12.8
09/01/2013,10.2
10/01/2013,7.4
11/01/2013,13.4
12/01/2013,13.7
13/01/2013,16.7
14/01/2013,18.3
15/01/2013,18.5
16/01/2013,21.2
17/01/2013,20.6
18/01/2013,20.2
19/01/2013,19.2
20/01/2013,20.1
21/01/2013,24.4
22/01/2013,27.2
23/01/2013,18.1
24/01/2013,20.5
25/01/2013,21.3
26/01/2013,24.9
27/01/2013,19.4
28/01/2013,18.5
29/01/2013,12.4
30/01/2013,14.5
31/01/2013,11
01/02/2013,13.1
02/02/2013,15.8
03/02/2013,20.4
04/02/2013,25.3
05/02/2013,23.1
06/02/2013,19.8
07/02/2013,19.5
08/02/2013,23
09/02/2013,22
10/02/2013,19.2
11/02/2013,17.4
12/02/2013,16.1
13/02/2013,21.5
14/02/2013,21.2
15/02/2013,16.6
16/02/2013,17.4
17/02/2013,16.6
18/02/2013,18
19/02/2013,16.6
20/02/2013,18.8
21/02/2013,22.4
22/02/2013,26.1
23/02/2013,19.2
24/02/2013,20
25/02/2013,25.3
26/02/2013,28.4
27/02/2013,22.7
28/02/2013,19.6
01/03/2013,18
02/03/2013,23.3
03/03/2013,28.6
04/03/2013,18.9
05/03/2013,18.7
06/03/2013,17.3
07/03/2013,21.2
08/03/2013,27.3
09/03/2013,21.6
10/03/2013,21.4
11/03/2013,27.3
12/03/2013,31.4
13/03/2013,28.5
14/03/2013,32
15/03/2013,34.6
16/03/2013,21.6
17/03/2013,16.1
18/03/2013,18.7
19/03/2013,22.3
20/03/2013,23.4
21/03/2013,28.6
22/03/2013,30.8
23/03/2013,18.8
24/03/2013,20.4
25/03/2013,27.1
26/03/2013,32.2
27/03/2013,21.6
28/03/2013,25.3
29/03/2013,27
30/03/2013,27.8
31/03/2013,33.6
01/04/2013,30.7
02/04/2013,24.7
03/04/2013,28.5
04/04/2013,23.4
05/04/2013,20.1
06/04/2013,25.2
07/04/2013,35
08/04/2013,24.9
09/04/2013,20.9
10/04/2013,21.3
11/04/2013,21.3
12/04/2013,23.4
13/04/2013,23.5
14/04/2013,26.4
15/04/2013,28
16/04/2013,20.5
17/04/2013,18
18/04/2013,21.8
19/04/2013,20.8
20/04/2013,19.3
21/04/2013,17.2
22/04/2013,19.5
23/04/2013,23.6
24/04/2013,29.4
25/04/2013,31.5
26/04/2013,33.4
27/04/2013,35.4
28/04/2013,35.1
29/04/2013,34.7
30/04/2013,36
01/05/2013,32.9
02/05/2013,31.8
03/05/2013,32.7
04/05/2013,34
05/05/2013,32.4
06/05/2013,29.9
07/05/2013,31
08/05/2013,31.5
09/05/2013,29.7
10/05/2013,30.8
11/05/2013,28.3
12/05/2013,26.4
13/05/2013,31.4
14/05/2013,27.2
15/05/2013,24.6
16/05/2013,26.5
17/05/2013,30.4
18/05/2013,32.5
19/05/2013,33.6
20/05/2013,29.1
21/05/2013,32
22/05/2013,33.9
23/05/2013,35.2
24/05/2013,35.3
25/05/2013,30.8
26/05/2013,27.9
27/05/2013,29.4
28/05/2013,31.5
29/05/2013,36.9
30/05/2013,39.2
31/05/2013,34.9
01/06/2013,34.6
02/06/2013,38.9
03/06/2013,33.6
04/06/2013,29.5
05/06/2013,30.2
06/06/2013,33.3
07/06/2013,31.2
08/06/2013,38.9
09/06/2013,28.4
10/06/2013,29.9
11/06/2013,32.1
12/06/2013,36.1
13/06/2013,29.8
14/06/2013,29.7
15/06/2013,29
16/06/2013,28.7
17/06/2013,30.1
18/06/2013,32.3
19/06/2013,33.8
20/06/2013,34.1
21/06/2013,34.5
22/06/2013,35.4
23/06/2013,33.8
24/06/2013,33
25/06/2013,33.7
26/06/2013,34.1
27/06/2013,32.9
28/06/2013,32.9
29/06/2013,32.7
30/06/2013,31.9
01/07/2013,30.2
02/07/2013,31.2
03/07/2013,32.6
04/07/2013,33.4
05/07/2013,33.6
06/07/2013,33.3
07/07/2013,32.8
08/07/2013,33.5
09/07/2013,32.3
10/07/2013,31.3
11/07/2013,31.7
12/07/2013,32.2
13/07/2013,33.8
14/07/2013,32.8
15/07/2013,34.2
16/07/2013,33.5
17/07/2013,32.8
18/07/2013,31.1
19/07/2013,31.4
20/07/2013,33
21/07/2013,31.4
22/07/2013,31.9
23/07/2013,35.3
24/07/2013,34.9
25/07/2013,33.5
26/07/2013,34.5
27/07/2013,34.3
28/07/2013,35.4
29/07/2013,35.1
30/07/2013,34.1
31/07/2013,33.9
01/08/2013,35.3
02/08/2013,35.7
03/08/2013,34.6
04/08/2013,32.9
05/08/2013,34.9
06/08/2013,36.1
07/08/2013,34.9
08/08/2013,34.3
09/08/2013,34.8
10/08/2013,34
11/08/2013,33.7
12/08/2013,33.3
13/08/2013,33.3
14/08/2013,34.8
15/08/2013,33.7
16/08/2013,35.1
17/08/2013,35.4
18/08/2013,34.8
19/08/2013,33.8
20/08/2013,35.3
21/08/2013,34.9
22/08/2013,34.6
23/08/2013,33.2
24/08/2013,32.6
25/08/2013,33.5
26/08/2013,33.5
27/08/2013,32.9
28/08/2013,34.6
29/08/2013,35.3
30/08/2013,36.7
31/08/2013,34.4
01/09/2013,33.7
02/09/2013,34.6
03/09/2013,33.2
04/09/2013,31.2
05/09/2013,32.5
06/09/2013,33.5
07/09/2013,32
08/09/2013,32
09/09/2013,32.2
10/09/2013,33.4
11/09/2013,34
12/09/2013,35.1
13/09/2013,35.7
14/09/2013,36.9
15/09/2013,34
16/09/2013,30.9
17/09/2013,31.9
18/09/2013,31.4
19/09/2013,36.5
20/09/2013,32.1
21/09/2013,30.3
22/09/2013,29.7
23/09/2013,29.8
24/09/2013,27.2
25/09/2013,28.7
26/09/2013,31.9
27/09/2013,30.4
28/09/2013,29.9
29/09/2013,29.9
30/09/2013,31.7
01/10/2013,30.8
02/10/2013,31.7
03/10/2013,30.8
04/10/2013,27.8
05/10/2013,25.7
06/10/2013,25.3
07/10/2013,25.6
08/10/2013,29.1
09/10/2013,31.3
10/10/2013,33.6
11/10/2013,31.5
12/10/2013,29.1
13/10/2013,29.8
14/10/2013,29.8
15/10/2013,29.8
16/10/2013,29.9
17/10/2013,29.7
18/10/2013,27.8
19/10/2013,26.1
20/10/2013,28.2
21/10/2013,29.7
22/10/2013,32.2
23/10/2013,29.4
24/10/2013,27.6
25/10/2013,27
26/10/2013,28.3
27/10/2013,27.2
28/10/2013,27.3
29/10/2013,31.6
30/10/2013,28.6
31/10/2013,27.8
01/11/2013,25.9
02/11/2013,25.2
03/11/2013,27.4
04/11/2013,28.7
05/11/2013,30.1
06/11/2013,28.5
07/11/2013,28.7
08/11/2013,28.3
09/11/2013,25.5
10/11/2013,28.7
11/11/2013,27.6
12/11/2013,27
13/11/2013,26.8
14/11/2013,26.9
15/11/2013,26.2
16/11/2013,24.7
17/11/2013,23.3
18/11/2013,22.8
19/11/2013,23.6
20/11/2013,23.6
21/11/2013,24.6
22/11/2013,27.9
23/11/2013,28.9
24/11/2013,24.7
25/11/2013,29.4
26/11/2013,34.3
27/11/2013,34.5
28/11/2013,26.2
29/11/2013,21.7
30/11/2013,24.4
01/12/2013,26.6
02/12/2013,30.9
03/12/2013,32.4
04/12/2013,22.7
05/12/2013,16.1
06/12/2013,16.4
07/12/2013,19.9
08/12/2013,15.6
09/12/2013,17.4
10/12/2013,15.1
11/12/2013,12.3
12/12/2013,8.3
13/12/2013,9.2
14/12/2013,6.5
15/12/2013,14.1
16/12/2013,15.1
17/12/2013,16.8
18/12/2013,17.3
19/12/2013,18.4
20/12/2013,19.5
21/12/2013,19.9
22/12/2013,19.4
23/12/2013,21.5
24/12/2013,19.5
25/12/2013,20.5
26/12/2013,23
27/12/2013,22.9
28/12/2013,25.9
29/12/2013,16.3
30/12/2013,16
31/12/2013,14.9
01/01/2014,17.9
02/01/2014,19.2
03/01/2014,18.9
04/01/2014,19.1
05/01/2014,17.4
06/01/2014,18
07/01/2014,19.6
08/01/2014,19.4
09/01/2014,18.8
10/01/2014,14.2
11/01/2014,17.5
12/01/2014,17.1
13/01/2014,21
14/01/2014,18.8
15/01/2014,20.5
16/01/2014,22.5
17/01/2014,19.7
18/01/2014,19.2
19/01/2014,20.7
20/01/2014,21.5
21/01/2014,23.1
22/01/2014,20.6
23/01/2014,19.2
24/01/2014,20.6
25/01/2014,24.1
26/01/2014,25.4
27/01/2014,17.6
28/01/2014,17.9
29/01/2014,22
30/01/2014,21.2
31/01/2014,21.5
01/02/2014,21.7
02/02/2014,17.7
03/02/2014,19
04/02/2014,13.7
05/02/2014,15
06/02/2014,14.4
07/02/2014,18.2
08/02/2014,18.7
09/02/2014,21.6
