DATE,RAINFALL[mm],RAIN_CODE
15/09/2019,1.7,0
27/10/2019,2.1,0
28/10/2019,2.3,0
29/10/2019,5.6,0
02/11/2019,5.8,0
15/11/2019,0.1,0
01/12/2019,5.4,0
05/12/2019,1.8,0
07/12/2019,0.5,0
08/12/2019,50.6,0
09/12/2019,9.7,0
10/12/2019,20,0
12/12/2019,46.5,0
24/12/2019,0.6,0
25/12/2019,40.4,0
26/12/2019,22.8,0
27/12/2019,3.4,0
28/12/2019,18.7,0
30/12/2019,0.1,0
31/12/2019,1.9,0
01/01/2020,17.3,0
02/01/2020,5.8,0
03/01/2020,60.6,0
04/01/2020,6.7,0
05/01/2020,88.3,0
07/01/2020,2.9,0
08/01/2020,19.7,0
09/01/2020,23.3,0
12/01/2020,1.1,0
15/01/2020,0.9,0
16/01/2020,2.2,0
17/01/2020,7,0
18/01/2020,9.8,0
19/01/2020,31.3,0
20/01/2020,12.1,0
21/01/2020,13.9,0
22/01/2020,0.1,0
23/01/2020,12.2,0
24/01/2020,1.2,0
28/01/2020,0.9,0
29/01/2020,2.7,0
30/01/2020,1.9,0
01/02/2020,2.7,0
06/02/2020,1.6,0
07/02/2020,9.8,0
08/02/2020,8.1,0
09/02/2020,2.4,0
11/02/2020,20.7,0
12/02/2020,6.7,0
18/02/2020,1.5,0
19/02/2020,4.6,0
21/02/2020,7.5,0
22/02/2020,3.7,0
24/02/2020,0.2,0
25/02/2020,1,0
29/02/2020,12.3,0
01/03/2020,1,0
05/03/2020,0.1,0
06/03/2020,5.5,0
12/03/2020,16.2,0
13/03/2020,15.4,0
14/03/2020,5,0
17/03/2020,22.3,0
18/03/2020,0.1,0
19/03/2020,7.1,0
20/03/2020,39.5,0
21/03/2020,1.7,0
26/03/2020,0.1,0
31/03/2020,6.3,0
01/04/2020,0.4,0
09/04/2020,1,0
10/04/2020,7.7,0
24/04/2020,0.6,0
25/04/2020,1.7,0
04/05/2020,0.4,0
05/05/2020,5.4,0
08/05/2020,0.8,0
23/05/2020,2,0
24/05/2020,0.3,0
01/11/2020,0.9,0
03/11/2020,10.6,0
04/11/2020,9.6,0
05/11/2020,0.9,0
06/11/2020,1.4,0
14/11/2020,4.2,0
15/11/2020,0.7,0
20/11/2020,118.2,0
21/11/2020,6.9,0
22/11/2020,2,0
25/11/2020,7.2,0
26/11/2020,25.3,0
27/11/2020,0.6,0
04/12/2020,0.9,0
05/12/2020,3.2,0
06/12/2020,22.4,0
08/12/2020,0.2,0
09/12/2020,1.5,0
14/12/2020,6.7,0
15/12/2020,30.3,0
16/12/2020,42.6,0
17/12/2020,21.2,0
22/12/2020,0.4,0
23/12/2020,11.6,0
13/01/2021,0.3,0
14/01/2021,37.1,0
15/01/2021,0.2,0
16/01/2021,15.2,0
17/01/2021,15.3,0
18/01/2021,5.1,0
19/01/2021,17.5,0
20/01/2021,1.9,0
27/01/2021,1.6,0
28/01/2021,15.8,0
29/01/2021,6.1,0
30/01/2021,6.4,0
03/02/2021,0.3,0
04/02/2021,7.8,0
16/02/2021,24,0
17/02/2021,33.3,0
18/02/2021,6.2,0
19/02/2021,17.7,0
28/02/2021,0.1,0
01/03/2021,0.6,0
03/03/2021,6.6,0
04/03/2021,9.3,0
11/03/2021,6,0
23/03/2021,1,0
24/03/2021,0.7,0
25/03/2021,4,0
01/04/2021,12.1,0
02/04/2021,2.8,0
03/04/2021,0.5,0
10/04/2021,2.5,0
