DATE,TEMP
01/09/2019,30.6
02/09/2019,30.4
03/09/2019,29.9
04/09/2019,29.6
05/09/2019,29.9
06/09/2019,29.4
07/09/2019,29.4
08/09/2019,29.4
09/09/2019,29.4
10/09/2019,29.3
11/09/2019,29.4
12/09/2019,29.5
13/09/2019,29.2
14/09/2019,29.1
15/09/2019,27.9
16/09/2019,29.5
17/09/2019,30
18/09/2019,31
19/09/2019,30.8
20/09/2019,29.3
21/09/2019,27.6
22/09/2019,28.9
23/09/2019,29.2
24/09/2019,28.2
25/09/2019,28.1
26/09/2019,28.5
27/09/2019,29.4
28/09/2019,28.2
29/09/2019,28.2
30/09/2019,28.3
01/10/2019,28.3
02/10/2019,28.3
03/10/2019,27.7
04/10/2019,27.5
05/10/2019,27.6
06/10/2019,27.5
07/10/2019,27.8
08/10/2019,28.7
09/10/2019,27.7
10/10/2019,28.5
11/10/2019,27.6
12/10/2019,27.7
13/10/2019,29.8
14/10/2019,37.3
15/10/2019,39.2
16/10/2019,29.3
17/10/2019,28.4
18/10/2019,27.2
19/10/2019,27.1
20/10/2019,26.9
21/10/2019,26.9
22/10/2019,29.7
23/10/2019,27.9
24/10/2019,25.2
25/10/2019,26.9
26/10/2019,24.9
27/10/2019,27.6
28/10/2019,24.5
29/10/2019,24.2
30/10/2019,24.8
31/10/2019,26.2
01/11/2019,24.2
02/11/2019,24
03/11/2019,26.5
04/11/2019,28.9
05/11/2019,30.8
06/11/2019,30.3
07/11/2019,30.3
08/11/2019,30.5
09/11/2019,30.1
10/11/2019,30.8
11/11/2019,30.6
12/11/2019,29.1
13/11/2019,29.2
14/11/2019,30.9
15/11/2019,25.1
16/11/2019,25.4
17/11/2019,23.9
18/11/2019,21.8
19/11/2019,22.2
20/11/2019,22.9
21/11/2019,24.2
22/11/2019,23.2
23/11/2019,21.3
24/11/2019,22.8
25/11/2019,24
26/11/2019,26.2
27/11/2019,21.5
28/11/2019,22
29/11/2019,22.1
30/11/2019,22.5
01/12/2019,21.9
02/12/2019,20.5
03/12/2019,19.6
04/12/2019,21.1
05/12/2019,19.3
06/12/2019,19.1
07/12/2019,18.5
08/12/2019,19.6
09/12/2019,19.1
10/12/2019,16.1
11/12/2019,19.4
12/12/2019,19.4
13/12/2019,16.4
14/12/2019,17.5
15/12/2019,16.1
16/12/2019,19.2
17/12/2019,19.2
18/12/2019,20.1
19/12/2019,20.9
20/12/2019,21.3
21/12/2019,21.7
22/12/2019,21.6
23/12/2019,19.3
24/12/2019,19.5
25/12/2019,17.4
26/12/2019,15.2
27/12/2019,15.8
28/12/2019,11.9
29/12/2019,16.1
30/12/2019,17.3
31/12/2019,15.3
01/01/2020,16.1
02/01/2020,12.2
03/01/2020,13.9
04/01/2020,12.5
05/01/2020,14.5
06/01/2020,16.1
07/01/2020,16.2
08/01/2020,13.4
09/01/2020,12.7
10/01/2020,13.5
11/01/2020,15.6
12/01/2020,15
13/01/2020,17.4
14/01/2020,17.3
15/01/2020,17.9
16/01/2020,16.5
17/01/2020,15.1
18/01/2020,15.2
19/01/2020,12.9
20/01/2020,13.2
21/01/2020,12.8
22/01/2020,12.7
23/01/2020,15.8
24/01/2020,13.8
25/01/2020,14.4
26/01/2020,14.8
27/01/2020,16.8
28/01/2020,16.8
29/01/2020,17.2
30/01/2020,17.1
31/01/2020,16.2
01/02/2020,16.8
02/02/2020,17.1
03/02/2020,17.9
04/02/2020,16.9
05/02/2020,19.2
06/02/2020,21.8
07/02/2020,15.7
08/02/2020,13.3
09/02/2020,11
10/02/2020,11.2
11/02/2020,11.2
12/02/2020,16.1
13/02/2020,18.1
14/02/2020,15.8
15/02/2020,19
16/02/2020,18.7
17/02/2020,17.9
18/02/2020,18.9
19/02/2020,15.2
20/02/2020,17.4
21/02/2020,18.4
22/02/2020,17
23/02/2020,16.4
24/02/2020,18.3
25/02/2020,16.4
26/02/2020,17.6
27/02/2020,20.5
28/02/2020,19.5
29/02/2020,17.3
01/03/2020,16.8
02/03/2020,17.1
03/03/2020,20.8
04/03/2020,26.2
05/03/2020,26.6
06/03/2020,17.8
07/03/2020,17.9
08/03/2020,22.6
09/03/2020,27.5
