DATE,GCC_RAW
"Jan 9, 2013",0.336
"Jan 10, 2013",0.334
"Jan 11, 2013",0.343
"Jan 12, 2013",0.341
"Jan 13, 2013",0.396
"Jan 14, 2013",0.395
"Jan 15, 2013",0.395
"Jan 16, 2013",0.387
"Jan 17, 2013",0.385
"Jan 18, 2013",0.389
"Jan 19, 2013",0.39
"Jan 20, 2013",0.395
"Jan 21, 2013",0.392
"Jan 22, 2013",0.391
"Jan 23, 2013",0.368
"Jan 24, 2013",0.386
"Jan 25, 2013",0.336
"Jan 26, 2013",0.394
"Jan 27, 2013",0.392
"Jan 28, 2013",0.383
"Jan 29, 2013",0.333
"Jan 30, 2013",0.341
"Jan 31, 2013",0.333
"Feb 1, 2013",0.334
"Feb 2, 2013",0.343
"Feb 3, 2013",0.408
"Feb 4, 2013",0.399
"Feb 5, 2013",0.336
"Feb 6, 2013",0.335
"Feb 7, 2013",0.399
"Feb 8, 2013",0.396
"Feb 9, 2013",0.404
"Feb 10, 2013",0.361
"Feb 11, 2013",0.338
"Feb 12, 2013",0.336
"Feb 13, 2013",0.409
"Feb 14, 2013",0.333
"Feb 15, 2013",0.342
"Feb 16, 2013",0.336
"Feb 17, 2013",0.338
"Feb 18, 2013",0.409
"Feb 19, 2013",0.333
"Feb 20, 2013",0.404
"Feb 21, 2013",0.406
"Feb 22, 2013",0.397
"Feb 23, 2013",0.338
"Feb 24, 2013",0.337
"Feb 25, 2013",0.337
"Feb 26, 2013",0.404
"Feb 27, 2013",0.395
"Feb 28, 2013",0.343
"Mar 1, 2013",0.353
"Mar 2, 2013",0.4
"Mar 3, 2013",0.369
"Mar 4, 2013",0.375
"Mar 5, 2013",0.338
"Mar 6, 2013",0.371
"Mar 7, 2013",0.405
"Mar 8, 2013",0.374
"Mar 9, 2013",0.399
"Mar 10, 2013",0.393
"Mar 11, 2013",0.384
"Mar 12, 2013",0.39
"Mar 13, 2013",0.383
"Mar 14, 2013",0.38
"Mar 15, 2013",0.383
"Mar 16, 2013",0.375
"Mar 17, 2013",0.334
"Mar 18, 2013",0.34
"Mar 19, 2013",0.335
"Mar 20, 2013",0.386
"Mar 21, 2013",0.387
"Mar 22, 2013",0.344
"Mar 23, 2013",0.337
"Mar 24, 2013",0.38
"Mar 25, 2013",0.385
"Mar 26, 2013",0.38
"Mar 27, 2013",0.345
"Mar 28, 2013",0.382
"Mar 29, 2013",0.372
"Mar 30, 2013",0.336
"Mar 31, 2013",0.351
"Apr 1, 2013",0.366
"Apr 2, 2013",0.345
"Apr 3, 2013",0.375
"Apr 4, 2013",0.341
"Apr 5, 2013",0.335
"Apr 6, 2013",0.374
"Apr 7, 2013",0.369
"Apr 8, 2013",0.359
"Apr 9, 2013",0.334
"Apr 10, 2013",0.336
"Apr 11, 2013",0.336
"Apr 12, 2013",0.366
"Apr 13, 2013",0.378
"Apr 14, 2013",0.367
"Apr 15, 2013",0.371
"Apr 16, 2013",0.336
"Apr 17, 2013",0.334
"Apr 18, 2013",0.34
"Apr 19, 2013",0.337
"Apr 20, 2013",0.329
"Apr 21, 2013",0.335
"Apr 22, 2013",0.332
"Apr 23, 2013",0.34
"Apr 24, 2013",0.378
"Apr 25, 2013",0.371
"Apr 26, 2013",0.372
"Apr 27, 2013",0.37
"Apr 28, 2013",0.367
"Apr 29, 2013",0.369
"Apr 30, 2013",0.364
"May 1, 2013",0.36
"May 2, 2013",0.366
"May 3, 2013",0.355
"May 4, 2013",0.367
"May 5, 2013",0.363
"May 6, 2013",0.364
"May 7, 2013",0.36
"May 8, 2013",0.345
"May 9, 2013",0.337
"May 10, 2013",0.359
"May 11, 2013",0.37
"May 12, 2013",0.337
"May 13, 2013",0.344
"May 14, 2013",0.367
"May 15, 2013",0.346
"May 16, 2013",0.335
"May 17, 2013",0.333
"May 18, 2013",0.36
"May 19, 2013",0.333
"May 20, 2013",0.358
"May 21, 2013",0.357
"May 22, 2013",0.361
"May 23, 2013",0.357
"May 24, 2013",0.36
"May 25, 2013",0.356
"May 26, 2013",0.359
"May 27, 2013",0.354
"May 28, 2013",0.357
"May 29, 2013",0.359
"May 30, 2013",0.352
"May 31, 2013",0.362
"Jun 1, 2013",0.354
"Jun 2, 2013",0.357
"Jun 3, 2013",0.357
"Jun 4, 2013",0.359
"Jun 5, 2013",0.354
"Jun 6, 2013",0.352
"Jun 7, 2013",0.359
"Jun 8, 2013",0.358
"Jun 9, 2013",0.339
"Jun 10, 2013",0.355
"Jun 11, 2013",0.353
"Jun 12, 2013",0.352
"Jun 13, 2013",0.353
"Jun 14, 2013",0.351
"Jun 15, 2013",0.35
"Jun 16, 2013",0.365
"Jun 17, 2013",0.348
"Jun 18, 2013",0.355
"Jun 19, 2013",0.349
"Jun 20, 2013",0.353
"Jun 21, 2013",0.351
"Jun 22, 2013",0.347
"Jun 23, 2013",0.355
"Jun 24, 2013",0.344
"Jun 25, 2013",0.35
"Jun 26, 2013",0.348
"Jun 27, 2013",0.349
"Jun 28, 2013",0.349
"Jun 29, 2013",0.351
"Jun 30, 2013",0.351
"Jul 1, 2013",0.334
"Jul 2, 2013",0.35
"Jul 3, 2013",0.346
"Jul 4, 2013",0.351
"Jul 5, 2013",0.348
"Jul 6, 2013",0.351
"Jul 7, 2013",0.351
"Jul 8, 2013",0.35
"Jul 9, 2013",0.353
"Jul 10, 2013",0.345
"Jul 11, 2013",0.336
"Jul 12, 2013",0.343
"Jul 13, 2013",0.348
"Jul 14, 2013",0.35
"Jul 15, 2013",0.352
"Jul 16, 2013",0.349
"Jul 17, 2013",0.348
"Jul 18, 2013",0.339
"Jul 19, 2013",0.341
"Jul 20, 2013",0.361
"Jul 21, 2013",0.35
"Jul 22, 2013",0.349
"Jul 23, 2013",0.348
"Jul 24, 2013",0.349
"Jul 25, 2013",0.352
"Jul 26, 2013",0.343
"Jul 27, 2013",0.354
"Jul 28, 2013",0.344
"Jul 29, 2013",0.348
"Jul 30, 2013",0.346
"Jul 31, 2013",0.349
"Aug 1, 2013",0.347
"Aug 2, 2013",0.348
"Aug 3, 2013",0.357
"Aug 4, 2013",0.343
"Aug 5, 2013",0.352
"Aug 6, 2013",0.348
"Aug 7, 2013",0.351
"Aug 8, 2013",0.348
"Aug 9, 2013",0.35
"Aug 10, 2013",0.351
"Aug 11, 2013",0.342
"Aug 12, 2013",0.349
"Aug 13, 2013",0.345
"Aug 14, 2013",0.351
"Aug 15, 2013",0.347
"Aug 16, 2013",0.348
"Aug 17, 2013",0.347
"Aug 18, 2013",0.346
"Aug 19, 2013",0.355
"Aug 20, 2013",0.343
"Aug 21, 2013",0.353
"Aug 22, 2013",0.346
"Aug 23, 2013",0.347
"Aug 24, 2013",0.338
"Aug 25, 2013",0.347
"Aug 26, 2013",0.347
"Aug 27, 2013",0.346
"Aug 28, 2013",0.349
"Aug 29, 2013",0.345
"Aug 30, 2013",0.348
"Aug 31, 2013",0.351
"Sep 1, 2013",0.353
"Sep 2, 2013",0.349
"Sep 3, 2013",0.346
"Sep 4, 2013",0.335
"Sep 5, 2013",0.339
"Sep 6, 2013",0.352
"Sep 7, 2013",0.347
"Sep 8, 2013",0.348
"Sep 9, 2013",0.351
"Sep 10, 2013",0.347
"Sep 11, 2013",0.349
"Sep 12, 2013",0.343
"Sep 13, 2013",0.349
"Sep 14, 2013",0.345
"Sep 15, 2013",0.357
"Sep 16, 2013",0.345
"Sep 17, 2013",0.351
"Sep 18, 2013",0.345
"Sep 19, 2013",0.35
"Sep 20, 2013",0.336
"Sep 21, 2013",0.33
"Sep 22, 2013",0.334
"Sep 23, 2013",0.333
"Sep 24, 2013",0.334
"Sep 25, 2013",0.338
"Sep 26, 2013",0.351
"Sep 27, 2013",0.349
"Sep 28, 2013",0.346
"Sep 29, 2013",0.348
"Sep 30, 2013",0.344
"Oct 1, 2013",0.35
"Oct 2, 2013",0.348
"Oct 3, 2013",0.339
"Oct 4, 2013",0.341
"Oct 5, 2013",0.334
"Oct 6, 2013",0.34
"Oct 7, 2013",0.346
"Oct 8, 2013",0.354
"Oct 9, 2013",0.349
"Oct 10, 2013",0.352
"Oct 11, 2013",0.351
"Oct 12, 2013",0.347
"Oct 13, 2013",0.355
"Oct 14, 2013",0.34
"Oct 15, 2013",0.353
"Oct 16, 2013",0.342
"Oct 17, 2013",0.357
"Oct 18, 2013",0.338
"Oct 19, 2013",0.336
"Oct 20, 2013",0.348
"Oct 21, 2013",0.349
"Oct 22, 2013",0.355
"Oct 23, 2013",0.343
"Oct 24, 2013",0.353
"Oct 25, 2013",0.347
"Oct 26, 2013",0.354
"Oct 27, 2013",0.345
"Oct 28, 2013",0.349
"Oct 29, 2013",0.352
"Oct 30, 2013",0.335
"Oct 31, 2013",0.357
"Nov 1, 2013",0.351
"Nov 2, 2013",0.344
"Nov 3, 2013",0.35
"Nov 4, 2013",0.333
"Nov 5, 2013",0.357
"Nov 6, 2013",0.347
"Nov 7, 2013",0.333
"Nov 8, 2013",0.34
"Nov 9, 2013",0.334
"Nov 10, 2013",0.352
"Nov 11, 2013",0.36
"Nov 12, 2013",0.337
"Nov 13, 2013",0.33
"Nov 14, 2013",0.344
"Nov 15, 2013",0.347
"Nov 16, 2013",0.36
"Nov 17, 2013",0.339
"Nov 18, 2013",0.334
"Nov 19, 2013",0.351
"Nov 20, 2013",0.354
"Nov 21, 2013",0.353
"Nov 22, 2013",0.333
"Nov 23, 2013",0.354
"Nov 24, 2013",0.348
"Nov 25, 2013",0.355
"Nov 26, 2013",0.349
"Nov 27, 2013",0.335
"Nov 28, 2013",0.353
"Nov 29, 2013",0.37
"Nov 30, 2013",0.355
"Dec 1, 2013",0.338
"Dec 2, 2013",0.338
"Dec 3, 2013",0.334
"Dec 4, 2013",0.337
"Dec 5, 2013",0.331
"Dec 6, 2013",0.331
"Dec 7, 2013",0.359
