DATE,GCC_RAW
"Jan 4, 2017",0.332
"Jan 30, 2017",0.341
"Feb 1, 2017",0.343
"Apr 12, 2017",0.337
"Apr 17, 2017",0.338
"Apr 21, 2017",0.343
"Apr 23, 2017",0.333
"Apr 27, 2017",0.332
"May 2, 2017",0.336
"May 4, 2017",0.338
"May 11, 2017",0.333
"May 26, 2017",0.329
"May 31, 2017",0.335
"Jun 7, 2017",0.336
"Jun 9, 2017",0.331
"Jun 13, 2017",0.337
"Jun 16, 2017",0.333
"Jun 20, 2017",0.325
"Jun 22, 2017",0.331
"Jun 24, 2017",0.332
"Jul 4, 2017",0.334
"Jul 6, 2017",0.337
"Jul 8, 2017",0.336
"Jul 10, 2017",0.334
"Jul 11, 2017",0.335
"Jul 12, 2017",0.339
"Jul 14, 2017",0.335
"Jul 15, 2017",0.335
"Jul 17, 2017",0.339
"Jul 19, 2017",0.334
"Jul 21, 2017",0.334
"Jul 23, 2017",0.337
"Jul 28, 2017",0.332
"Jul 29, 2017",0.334
"Jul 31, 2017",0.329
"Aug 1, 2017",0.333
"Aug 2, 2017",0.336
"Aug 3, 2017",0.337
"Aug 4, 2017",0.337
"Aug 10, 2017",0.336
"Aug 11, 2017",0.333
"Aug 14, 2017",0.335
"Aug 15, 2017",0.33
"Aug 16, 2017",0.332
"Aug 18, 2017",0.33
"Aug 19, 2017",0.336
"Aug 20, 2017",0.333
"Aug 21, 2017",0.337
"Aug 24, 2017",0.338
"Aug 25, 2017",0.335
"Aug 26, 2017",0.334
"Aug 28, 2017",0.339
"Aug 31, 2017",0.332
"Sep 3, 2017",0.336
"Sep 4, 2017",0.337
"Sep 7, 2017",0.335
"Sep 11, 2017",0.326
"Sep 12, 2017",0.329
"Sep 14, 2017",0.333
"Sep 16, 2017",0.337
"Sep 17, 2017",0.335
"Sep 22, 2017",0.337
"Sep 23, 2017",0.334
"Sep 25, 2017",0.335
"Oct 18, 2017",0.331
"Nov 8, 2017",0.336
"Nov 26, 2017",0.334
"Dec 2, 2017",0.337
"Dec 9, 2017",0.337
"Dec 10, 2017",0.343
"Dec 12, 2017",0.339
"Dec 15, 2017",0.338
"Dec 17, 2017",0.334
"Jan 22, 2018",0.338
"Jan 31, 2018",0.344
"Feb 1, 2018",0.34
"Feb 9, 2018",0.343
"Feb 14, 2018",0.333
"Feb 20, 2018",0.342
"Feb 22, 2018",0.344
"Feb 28, 2018",0.347
"Mar 1, 2018",0.343
"Mar 2, 2018",0.345
"Mar 3, 2018",0.34
"Mar 4, 2018",0.346
"Mar 6, 2018",0.341
"Mar 7, 2018",0.346
"Mar 8, 2018",0.342
"Mar 12, 2018",0.342
"Mar 13, 2018",0.344
"Mar 14, 2018",0.343
"Mar 17, 2018",0.343
"Mar 18, 2018",0.344
"Mar 19, 2018",0.343
"Mar 20, 2018",0.342
"Mar 21, 2018",0.345
"Mar 22, 2018",0.345
"Mar 25, 2018",0.341
"Mar 26, 2018",0.339
"Mar 27, 2018",0.342
"Mar 31, 2018",0.343
"Apr 1, 2018",0.34
"Apr 3, 2018",0.341
"Apr 4, 2018",0.342
"Apr 6, 2018",0.343
"Apr 7, 2018",0.34
"Apr 9, 2018",0.338
"Apr 14, 2018",0.341
"Apr 15, 2018",0.337
"Apr 16, 2018",0.335
"Apr 17, 2018",0.339
"Apr 18, 2018",0.337
"Apr 19, 2018",0.337
"Apr 20, 2018",0.338
"Apr 23, 2018",0.33
"Apr 24, 2018",0.333
