DATE,GCC_RAW
"Aug 20, 2015",0.32
"Aug 30, 2015",0.319
"Sep 9, 2015",0.326
"Sep 19, 2015",0.317
"Sep 29, 2015",0.318
"Dec 8, 2015",0.331
"Dec 28, 2015",0.333
"Jan 17, 2016",0.339
"Feb 16, 2016",0.346
"Mar 7, 2016",0.35
"Apr 6, 2016",0.34
"Apr 16, 2016",0.341
"Apr 26, 2016",0.333
"May 16, 2016",0.327
"May 26, 2016",0.324
"Jun 5, 2016",0.325
"Jun 15, 2016",0.324
"Jun 25, 2016",0.322
"Jul 15, 2016",0.321
"Jul 25, 2016",0.32
"Aug 4, 2016",0.32
"Aug 14, 2016",0.319
"Aug 24, 2016",0.321
"Sep 3, 2016",0.32
"Sep 13, 2016",0.319
"Oct 3, 2016",0.319
"Oct 13, 2016",0.318
"Jan 11, 2017",0.325
"Feb 10, 2017",0.333
"Feb 20, 2017",0.337
"Apr 21, 2017",0.335
"May 11, 2017",0.326
"May 31, 2017",0.323
"Jun 10, 2017",0.321
"Jun 20, 2017",0.323
"Jun 30, 2017",0.32
"Jul 5, 2017",0.32
"Jul 10, 2017",0.321
"Jul 15, 2017",0.319
"Jul 20, 2017",0.321
"Jul 25, 2017",0.32
"Jul 30, 2017",0.319
"Aug 4, 2017",0.319
"Aug 9, 2017",0.32
"Aug 14, 2017",0.319
"Aug 19, 2017",0.32
"Aug 24, 2017",0.319
"Aug 29, 2017",0.318
"Sep 8, 2017",0.319
"Sep 18, 2017",0.318
"Sep 23, 2017",0.318
"Sep 28, 2017",0.318
"Oct 3, 2017",0.322
"Oct 13, 2017",0.318
"Oct 18, 2017",0.319
"Oct 23, 2017",0.318
"Nov 17, 2017",0.317
"Dec 2, 2017",0.32
"Dec 17, 2017",0.326
"Jan 11, 2018",0.337
"Jan 21, 2018",0.338
"Jan 31, 2018",0.34
"Mar 2, 2018",0.351
"Mar 7, 2018",0.354
"Mar 17, 2018",0.35
"Mar 22, 2018",0.347
"Mar 27, 2018",0.343
"Apr 6, 2018",0.338
"Apr 16, 2018",0.335
"May 11, 2018",0.328
"May 21, 2018",0.327
"May 26, 2018",0.324
"Jun 5, 2018",0.323
"Jun 10, 2018",0.325
"Jun 15, 2018",0.323
"Jun 20, 2018",0.323
"Jun 25, 2018",0.323
"Jun 30, 2018",0.322
"Jul 5, 2018",0.322
"Jul 10, 2018",0.321
"Jul 15, 2018",0.321
"Jul 20, 2018",0.321
"Jul 25, 2018",0.323
"Jul 30, 2018",0.32
"Aug 4, 2018",0.32
"Aug 9, 2018",0.32
"Aug 19, 2018",0.32
"Aug 24, 2018",0.32
"Aug 29, 2018",0.32
"Sep 3, 2018",0.32
"Sep 18, 2018",0.319
"Sep 23, 2018",0.32
"Sep 28, 2018",0.319
"Oct 13, 2018",0.318
"Oct 28, 2018",0.319
"Nov 2, 2018",0.32
"Nov 12, 2018",0.323
"Nov 17, 2018",0.329
"Dec 17, 2018",0.338
"Jan 1, 2019",0.343
"Jan 21, 2019",0.346
"Jan 26, 2019",0.344
"Jan 31, 2019",0.345
"Feb 5, 2019",0.344
"Feb 25, 2019",0.345
"Mar 22, 2019",0.354
"Apr 11, 2019",0.357
"Apr 26, 2019",0.346
"May 6, 2019",0.337
"May 11, 2019",0.336
"May 16, 2019",0.331
"May 21, 2019",0.329
"May 31, 2019",0.325
"Jun 10, 2019",0.322
"Jun 15, 2019",0.321
"Jun 20, 2019",0.323
"Jun 25, 2019",0.322
"Jun 30, 2019",0.321
"Jul 5, 2019",0.321
"Jul 15, 2019",0.321
"Jul 20, 2019",0.32
"Jul 25, 2019",0.32
"Jul 30, 2019",0.32
"Aug 4, 2019",0.32
"Aug 9, 2019",0.32
"Aug 14, 2019",0.32
