DATE,GCC_RAW
"May 18, 2018",0.342
"May 20, 2018",0.342
"May 24, 2018",0.338
"Jun 15, 2018",0.333
"Jun 17, 2018",0.335
"Jun 19, 2018",0.333
"Jun 25, 2018",0.332
"Jun 27, 2018",0.332
"Jul 7, 2018",0.329
"Jul 9, 2018",0.328
"Jul 25, 2018",0.33
"Aug 10, 2018",0.326
"Aug 20, 2018",0.327
"Aug 24, 2018",0.326
"Aug 30, 2018",0.326
"Sep 1, 2018",0.326
"Sep 5, 2018",0.326
"Sep 11, 2018",0.326
"Dec 14, 2018",0.395
"Dec 22, 2018",0.402
"Jan 7, 2019",0.401
"Jan 11, 2019",0.397
"Jan 19, 2019",0.406
"Jan 21, 2019",0.407
"Jan 23, 2019",0.408
"Jan 25, 2019",0.407
"Feb 2, 2019",0.407
"Feb 4, 2019",0.409
"Mar 18, 2019",0.446
"Apr 7, 2019",0.428
"Apr 9, 2019",0.42
"Apr 11, 2019",0.432
"Apr 13, 2019",0.421
"Apr 29, 2019",0.38
"May 11, 2019",0.361
