DATE,NDVI_RAW
"Aug 20, 2015",0.219
"Aug 30, 2015",0.215
"Sep 9, 2015",0.094
"Sep 19, 2015",0.207
"Sep 29, 2015",0.19
"Dec 8, 2015",0.371
"Dec 28, 2015",0.407
"Jan 17, 2016",0.441
"Feb 16, 2016",0.471
"Mar 7, 2016",0.502
"Apr 6, 2016",0.403
"Apr 16, 2016",0.404
"Apr 26, 2016",0.337
"May 16, 2016",0.278
"May 26, 2016",0.285
"Jun 5, 2016",0.254
"Jun 15, 2016",0.246
"Jun 25, 2016",0.253
"Jul 15, 2016",0.242
"Jul 25, 2016",0.236
"Aug 4, 2016",0.246
"Aug 14, 2016",0.223
"Aug 24, 2016",0.159
"Sep 3, 2016",0.174
"Sep 13, 2016",0.21
"Oct 3, 2016",0.212
"Oct 13, 2016",0.212
"Jan 11, 2017",0.326
"Feb 10, 2017",0.372
"Feb 20, 2017",0.419
"Apr 21, 2017",0.328
"May 11, 2017",0.28
"May 31, 2017",0.266
"Jun 10, 2017",0.258
"Jun 20, 2017",0.119
"Jun 30, 2017",0.238
"Jul 5, 2017",0.215
"Jul 10, 2017",0.222
"Jul 15, 2017",0.242
"Jul 20, 2017",0.2
"Jul 25, 2017",0.211
"Jul 30, 2017",0.225
"Aug 4, 2017",0.225
"Aug 9, 2017",0.206
"Aug 14, 2017",0.213
"Aug 19, 2017",0.193
"Aug 24, 2017",0.205
"Aug 29, 2017",0.22
"Sep 8, 2017",0.204
"Sep 18, 2017",0.205
"Sep 23, 2017",0.193
"Sep 28, 2017",0.211
"Oct 3, 2017",0.077
"Oct 13, 2017",0.229
"Oct 18, 2017",0.21
"Oct 23, 2017",0.208
"Nov 17, 2017",0.213
"Dec 2, 2017",0.253
"Dec 17, 2017",0.296
"Jan 11, 2018",0.419
"Jan 21, 2018",0.428
"Jan 31, 2018",0.459
"Mar 2, 2018",0.5
"Mar 7, 2018",0.538
"Mar 17, 2018",0.504
"Mar 22, 2018",0.484
"Mar 27, 2018",0.444
"Apr 6, 2018",0.397
"Apr 16, 2018",0.379
"May 11, 2018",0.32
"May 21, 2018",0.29
"May 26, 2018",0.186
"Jun 5, 2018",0.268
"Jun 10, 2018",0.253
"Jun 15, 2018",0.266
"Jun 20, 2018",0.25
"Jun 25, 2018",0.253
"Jun 30, 2018",0.251
"Jul 5, 2018",0.237
"Jul 10, 2018",0.245
"Jul 15, 2018",0.234
"Jul 20, 2018",0.231
"Jul 25, 2018",0.213
"Jul 30, 2018",0.231
"Aug 4, 2018",0.221
"Aug 9, 2018",0.213
"Aug 19, 2018",0.212
"Aug 24, 2018",0.21
"Aug 29, 2018",0.202
"Sep 3, 2018",0.201
"Sep 18, 2018",0.216
"Sep 23, 2018",0.211
"Sep 28, 2018",0.212
"Oct 13, 2018",0.211
"Oct 28, 2018",0.256
"Nov 2, 2018",0.257
"Nov 12, 2018",0.168
"Nov 17, 2018",0.325
"Dec 17, 2018",0.422
"Jan 1, 2019",0.482
"Jan 21, 2019",0.484
"Jan 26, 2019",0.468
"Jan 31, 2019",0.488
