DATE,NDVI_RAW
"May 18, 2018",0.384
"May 20, 2018",0.367
"May 24, 2018",0.367
"Jun 15, 2018",0.349
"Jun 17, 2018",0.341
"Jun 19, 2018",0.342
"Jun 25, 2018",0.339
"Jun 27, 2018",0.336
"Jul 7, 2018",0.327
"Jul 9, 2018",0.325
"Jul 25, 2018",0.31
"Aug 10, 2018",0.307
"Aug 20, 2018",0.306
"Aug 24, 2018",0.302
"Aug 30, 2018",0.304
"Sep 1, 2018",0.305
"Sep 5, 2018",0.301
"Sep 11, 2018",0.309
"Dec 14, 2018",0.566
"Dec 22, 2018",0.594
"Jan 7, 2019",0.589
"Jan 11, 2019",0.574
"Jan 19, 2019",0.608
"Jan 21, 2019",0.598
"Jan 23, 2019",0.601
"Jan 25, 2019",0.598
"Feb 2, 2019",0.612
"Feb 4, 2019",0.608
"Mar 18, 2019",0.673
"Apr 7, 2019",0.652
"Apr 9, 2019",0.643
"Apr 11, 2019",0.657
"Apr 13, 2019",0.638
"Apr 29, 2019",0.559
"May 11, 2019",0.508
