DATE,NDVI_RAW
"Jan 1, 2019",0.67
"Jan 10, 2019",0.724
"Jan 26, 2019",0.657
"Jan 26, 2019",0.636
"Feb 2, 2019",0.705
"Mar 6, 2019",0.679
"Mar 22, 2019",0.637
"Apr 23, 2019",0.652
"May 18, 2019",0.557
"May 18, 2019",0.548
"May 25, 2019",
"Jun 3, 2019",0.511
"Jun 3, 2019",0.504
"Jun 19, 2019",0.508
"Jun 19, 2019",0.51
"Jun 26, 2019",0.5
"Jul 5, 2019",
"Jul 5, 2019",
"Jul 12, 2019",0.458
"Jul 21, 2019",0.506
"Jul 21, 2019",0.506
"Jul 28, 2019",0.464
"Aug 6, 2019",0.48
"Aug 6, 2019",0.477
"Aug 13, 2019",0.457
"Aug 22, 2019",0.484
"Aug 22, 2019",0.477
"Aug 29, 2019",
"Sep 23, 2019",0.501
"Sep 23, 2019",0.5
"Sep 30, 2019",0.468
"Oct 9, 2019",0.49
"Oct 9, 2019",0.497
"Oct 16, 2019",0.484
"Nov 1, 2019",
"Nov 10, 2019",0.521
"Nov 17, 2019",0.465
"Nov 26, 2019",0.469
"Nov 26, 2019",0.453
"Dec 19, 2019",0.564
"Mar 8, 2020",0.734
"Apr 18, 2020",0.645
"Apr 18, 2020",0.644
"May 4, 2020",0.603
"May 4, 2020",0.598
"May 20, 2020",0.501
"May 20, 2020",0.495
"May 27, 2020",0.503
"Jun 5, 2020",0.508
"Jun 5, 2020",0.493
"Jun 12, 2020",0.515
"Jun 21, 2020",0.452
"Jun 21, 2020",0.449
"Jul 7, 2020",
"Jul 23, 2020",0.468
"Jul 23, 2020",0.455
"Jul 30, 2020",0.445
"Aug 8, 2020",0.472
"Aug 8, 2020",0.411
"Aug 15, 2020",
"Aug 24, 2020",0.465
"Aug 24, 2020",0.463
"Aug 31, 2020",0.413
"Sep 9, 2020",0.449
"Sep 9, 2020",0.445
"Sep 16, 2020",0.409
"Sep 25, 2020",0.465
"Oct 2, 2020",0.463
"Oct 11, 2020",0.464
"Oct 11, 2020",0.462
"Oct 18, 2020",0.451
"Oct 27, 2020",0.467
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 19, 2020",0.535
"Dec 21, 2020",0.688
"Dec 30, 2020",0.742
"Dec 30, 2020",0.734
"Feb 16, 2021",0.776
"Apr 5, 2021",0.482
"Apr 21, 2021",0.456
"Apr 21, 2021",0.419
