DATE,NDVI_RAW
"Jan 1, 2018",
"Jan 2, 2018",
"Jan 3, 2018",
"Jan 4, 2018",
"Jan 5, 2018",
"Jan 6, 2018",0.598
"Jan 7, 2018",0.522
"Jan 8, 2018",0.512
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",0.587
"Jan 12, 2018",0.437
"Jan 13, 2018",0.506
"Jan 14, 2018",
"Jan 15, 2018",
"Jan 16, 2018",
"Jan 17, 2018",
"Jan 18, 2018",0.505
"Jan 19, 2018",
"Jan 20, 2018",
"Jan 21, 2018",0.617
"Jan 22, 2018",0.489
"Jan 23, 2018",
"Jan 24, 2018",
"Jan 25, 2018",
"Jan 26, 2018",
"Jan 27, 2018",0.648
"Jan 28, 2018",0.486
"Jan 29, 2018",0.651
"Jan 30, 2018",0.713
"Jan 31, 2018",
"Feb 1, 2018",0.68
"Feb 2, 2018",0.579
"Feb 3, 2018",0.525
"Feb 4, 2018",0.437
"Feb 5, 2018",
"Feb 6, 2018",
"Feb 7, 2018",0.405
"Feb 8, 2018",
"Feb 9, 2018",0.559
"Feb 10, 2018",
"Feb 11, 2018",
"Feb 12, 2018",
"Feb 13, 2018",
"Feb 14, 2018",0.617
"Feb 15, 2018",
"Feb 16, 2018",0.377
"Feb 17, 2018",
"Feb 18, 2018",
"Feb 19, 2018",
"Feb 20, 2018",
"Feb 21, 2018",0.579
"Feb 22, 2018",0.721
"Feb 23, 2018",
"Feb 24, 2018",
"Feb 25, 2018",
"Feb 26, 2018",
"Feb 27, 2018",
"Feb 28, 2018",0.65
"Mar 1, 2018",0.603
"Mar 2, 2018",0.589
"Mar 3, 2018",0.718
"Mar 4, 2018",0.555
"Mar 5, 2018",0.486
"Mar 6, 2018",0.488
"Mar 7, 2018",0.668
"Mar 8, 2018",
"Mar 9, 2018",
"Mar 10, 2018",
"Mar 11, 2018",0.594
"Mar 12, 2018",0.605
"Mar 13, 2018",0.548
"Mar 14, 2018",0.695
"Mar 15, 2018",0.513
"Mar 16, 2018",0.527
"Mar 17, 2018",0.698
"Mar 18, 2018",0.467
"Mar 19, 2018",0.604
"Mar 20, 2018",0.568
"Mar 21, 2018",0.612
"Mar 22, 2018",0.503
"Mar 23, 2018",0.471
"Mar 24, 2018",
"Mar 25, 2018",0.657
"Mar 26, 2018",0.605
"Mar 27, 2018",0.476
