DATE,NDVI_RAW
"Jan 1, 2019",0.744
"Jan 21, 2019",0.674
"Jan 26, 2019",0.677
"Jan 31, 2019",0.683
"Feb 5, 2019",0.708
"Mar 17, 2019",
"Mar 22, 2019",
"Apr 11, 2019",0.694
"May 11, 2019",0.623
"May 16, 2019",0.578
"Jun 10, 2019",0.494
"Jun 15, 2019",0.493
"Jun 20, 2019",0.421
"Jun 25, 2019",0.485
"Jun 30, 2019",0.472
"Jul 15, 2019",0.651
"Jul 20, 2019",
"Jul 25, 2019",0.526
"Jul 30, 2019",0.47
"Aug 4, 2019",0.453
"Aug 9, 2019",
"Aug 14, 2019",
"Aug 19, 2019",0.444
"Aug 24, 2019",0.479
"Aug 29, 2019",
"Sep 3, 2019",0.457
"Sep 13, 2019",0.42
"Sep 18, 2019",0.462
"Sep 23, 2019",0.473
"Sep 28, 2019",0.434
"Oct 13, 2019",0.468
"Nov 7, 2019",0.376
"Nov 12, 2019",0.503
"Nov 17, 2019",0.481
"Nov 22, 2019",0.502
"Nov 27, 2019",0.36
"Dec 2, 2019",0.473
"Dec 17, 2019",0.578
"Dec 22, 2019",0.62
"Jan 11, 2020",0.712
"Jan 26, 2020",0.692
"Feb 5, 2020",0.71
"Mar 11, 2020",0.705
"Mar 16, 2020",0.713
"Apr 20, 2020",0.561
"May 10, 2020",
"May 20, 2020",0.474
"May 25, 2020",0.497
"May 30, 2020",0.533
"Jun 4, 2020",0.478
"Jun 9, 2020",0.48
"Jun 14, 2020",0.453
"Jun 24, 2020",
"Jul 4, 2020",0.366
"Jul 9, 2020",0.476
"Jul 14, 2020",0.446
"Jul 19, 2020",0.468
"Jul 24, 2020",
"Jul 29, 2020",0.397
"Aug 3, 2020",0.433
"Aug 8, 2020",
"Aug 13, 2020",0.424
"Aug 18, 2020",
"Aug 23, 2020",0.431
"Aug 28, 2020",0.436
"Sep 2, 2020",
"Sep 7, 2020",0.372
"Sep 12, 2020",0.396
"Sep 17, 2020",0.395
"Sep 22, 2020",0.363
"Sep 27, 2020",0.397
"Oct 2, 2020",0.427
"Oct 7, 2020",0.475
"Oct 12, 2020",0.383
"Oct 17, 2020",0.509
"Oct 22, 2020",0.414
"Oct 27, 2020",0.434
"Dec 11, 2020",0.736
"Dec 21, 2020",0.786
"Dec 26, 2020",0.762
"Dec 31, 2020",0.767
"Jan 10, 2021",0.687
"Feb 9, 2021",0.801
"Feb 14, 2021",0.796
"Feb 24, 2021",0.773
"Mar 6, 2021",0.802
"Mar 16, 2021",0.67
"Mar 21, 2021",0.673
"Apr 15, 2021",0.599
"Apr 20, 2021",0.462
"Apr 25, 2021",0.572
"Apr 30, 2021",
