DATE,RAINFALL[mm],RAIN_CODE
15/09/2019,0.5,0
27/10/2019,1.5,0
28/10/2019,10,5
29/10/2019,6,5
02/11/2019,9.3,0
01/12/2019,4,0
05/12/2019,3.2,0
07/12/2019,0.5,0
08/12/2019,50.9,5
09/12/2019,17.9,5
10/12/2019,29.7,0
12/12/2019,46.8,0
24/12/2019,0.5,0
25/12/2019,55.3,5
26/12/2019,23,5
27/12/2019,4.8,5
28/12/2019,26,5
30/12/2019,0.1,5
31/12/2019,2.5,5
01/01/2020,11.8,5
02/01/2020,6,5
03/01/2020,56.7,5
04/01/2020,6.7,5
05/01/2020,70.2,0
07/01/2020,1.7,0
08/01/2020,21.1,0
09/01/2020,25.9,0
12/01/2020,1.5,0
15/01/2020,1.1,0
16/01/2020,1.2,5
17/01/2020,5,5
18/01/2020,11.6,5
19/01/2020,36.7,5
20/01/2020,12,5
21/01/2020,14,5
22/01/2020,0.2,5
23/01/2020,16,5
24/01/2020,1.1,5
28/01/2020,1.5,5
29/01/2020,4,5
30/01/2020,3.9,0
01/02/2020,2.5,0
06/02/2020,2.1,0
07/02/2020,7,5
08/02/2020,5.8,5
09/02/2020,0.4,5
11/02/2020,17.1,0
12/02/2020,6.5,0
18/02/2020,2.4,5
19/02/2020,2.8,5
21/02/2020,7.8,5
22/02/2020,4,5
24/02/2020,0.2,5
25/02/2020,3.3,5
29/02/2020,15,5
01/03/2020,0.8,5
06/03/2020,2.8,0
12/03/2020,16.9,5
13/03/2020,17.4,5
14/03/2020,5,5
17/03/2020,18.5,0
19/03/2020,4.8,5
20/03/2020,31,5
21/03/2020,1.6,5
26/03/2020,0.1,7
31/03/2020,6.9,0
01/04/2020,0.5,0
09/04/2020,12.3,5
10/04/2020,10.1,5
24/04/2020,0.1,5
25/04/2020,0.7,5
04/05/2020,0.5,5
05/05/2020,7.3,5
08/05/2020,0.8,0
23/05/2020,2,5
24/05/2020,0.4,5
01/11/2020,1,5
03/11/2020,27.2,5
04/11/2020,12.9,0
05/11/2020,1.3,5
06/11/2020,0.5,5
14/11/2020,12.9,0
15/11/2020,2,0
20/11/2020,70.5,0
21/11/2020,2.1,0
22/11/2020,1.2,0
25/11/2020,13,5
26/11/2020,29,5
27/11/2020,0.6,5
04/12/2020,1,5
05/12/2020,3.5,5
06/12/2020,28.2,0
08/12/2020,0.2,5
09/12/2020,1.5,5
14/12/2020,8.1,5
15/12/2020,42.2,0
16/12/2020,50.6,0
17/12/2020,18.8,0
22/12/2020,0.5,0
23/12/2020,10.5,0
13/01/2021,1.3,0
14/01/2021,43.5,0
16/01/2021,18.5,5
17/01/2021,19.2,5
18/01/2021,7.7,0
19/01/2021,24.1,0
20/01/2021,2.9,0
27/01/2021,1.8,0
28/01/2021,18.3,5
29/01/2021,15,5
30/01/2021,6.7,5
03/02/2021,0.5,5
04/02/2021,8.5,5
16/02/2021,12.6,0
17/02/2021,48.2,0
18/02/2021,8.2,0
19/02/2021,16.1,0
28/02/2021,0.2,5
01/03/2021,1.3,5
03/03/2021,10.6,0
04/03/2021,8.8,0
11/03/2021,2,0
23/03/2021,4,0
24/03/2021,1.3,5
25/03/2021,6.1,5
26/03/2021,0.1,5
01/04/2021,11,5
02/04/2021,2.6,5
03/04/2021,0.2,5
10/04/2021,5,0
