DATE,GCC_RAW
"Jun 18, 2013",0.326
"Jul 4, 2013",0.326
"Jul 20, 2013",0.325
"Aug 5, 2013",0.325
"Aug 21, 2013",0.325
"Sep 6, 2013",0.325
"Oct 24, 2013",0.325
"Dec 27, 2013",0.327
"Feb 13, 2014",0.33
"Apr 2, 2014",0.335
"Apr 18, 2014",0.334
"May 4, 2014",0.33
"May 20, 2014",0.331
"Jun 21, 2014",0.326
"Jul 7, 2014",0.327
"Jul 23, 2014",0.326
"Aug 8, 2014",0.326
"Aug 24, 2014",0.326
"Sep 9, 2014",0.326
"Sep 25, 2014",0.327
"Oct 27, 2014",0.326
"Dec 30, 2014",0.333
"Jan 31, 2015",0.334
"Apr 5, 2015",0.335
"Apr 21, 2015",0.333
"May 7, 2015",0.331
"Jun 8, 2015",0.329
"Jul 10, 2015",0.327
"Jul 26, 2015",0.326
"Aug 11, 2015",0.326
"Aug 27, 2015",0.326
"Sep 28, 2015",0.326
"Oct 14, 2015",0.327
"Feb 3, 2016",0.333
"Feb 19, 2016",0.336
"Apr 7, 2016",0.336
"Apr 23, 2016",0.332
"May 25, 2016",0.328
"Jun 10, 2016",0.328
"Jun 26, 2016",0.327
"Jul 12, 2016",0.327
"Jul 28, 2016",0.326
"Aug 13, 2016",0.326
"Aug 29, 2016",0.326
"Sep 14, 2016",0.326
"Sep 30, 2016",0.326
"Jan 20, 2017",0.329
"Feb 5, 2017",0.331
"Feb 21, 2017",0.332
"Mar 9, 2017",0.335
"Mar 25, 2017",0.332
"May 12, 2017",0.329
"May 28, 2017",0.327
"Jun 13, 2017",0.327
"Jun 29, 2017",0.326
"Jul 15, 2017",0.326
"Jul 31, 2017",0.326
"Aug 16, 2017",0.325
"Sep 1, 2017",0.326
"Sep 17, 2017",0.325
"Oct 3, 2017",0.326
"Oct 19, 2017",0.326
"Nov 4, 2017",0.326
"Jan 7, 2018",0.331
"Mar 12, 2018",0.338
"Apr 13, 2018",0.333
"Apr 29, 2018",0.331
"May 15, 2018",0.33
"Jun 16, 2018",0.328
"Jul 2, 2018",0.327
"Jul 18, 2018",0.326
"Aug 19, 2018",0.327
"Sep 4, 2018",0.326
"Sep 20, 2018",0.326
"Oct 22, 2018",0.326
"Nov 7, 2018",0.326
"Dec 25, 2018",0.333
"Jan 10, 2019",0.334
"Jan 26, 2019",0.335
"May 18, 2019",0.331
"Jun 3, 2019",0.329
"Jun 19, 2019",0.327
"Jul 5, 2019",0.327
"Jul 21, 2019",0.326
"Aug 6, 2019",0.326
"Aug 22, 2019",0.326
"Sep 23, 2019",0.325
"Oct 9, 2019",0.326
"Nov 26, 2019",0.327
"Apr 18, 2020",0.338
"May 4, 2020",0.335
"May 20, 2020",0.332
"Jun 5, 2020",0.33
"Jun 21, 2020",0.33
"Jul 7, 2020",0.328
"Jul 23, 2020",0.328
"Aug 8, 2020",0.327
"Aug 24, 2020",0.327
"Sep 9, 2020",0.326
"Sep 25, 2020",0.326
"Oct 11, 2020",0.326
"Nov 12, 2020",0.328
"Dec 30, 2020",0.333
