DATE,Weighted_Clusters.DW_EV
18/11/2015,0.366456442
02/12/2015,0.370770024
16/12/2015,0.357327852
30/12/2015,0.356134777
13/01/2016,0.359579148
28/01/2016,0.359371223
10/02/2016,0.343061961
25/02/2016,0.378376271
08/03/2016,0.384477715
22/03/2016,0.378664038
03/04/2016,0.39492914
20/04/2016,0.395094983
03/05/2016,0.387268605
18/05/2016,0.382501524
31/05/2016,0.379458003
14/06/2016,0.379046745
28/06/2016,0.370219762
12/07/2016,0.368694906
26/07/2016,0.359915362
09/08/2016,0.363263239
22/08/2016,0.358015932
06/09/2016,0.362300386
23/09/2016,0.36289849
05/10/2016,0.355838477
18/10/2016,0.355236099
03/11/2016,0.372124066
