DATE,NDVI_RAW
"Jun 18, 2013",0.197
"Jul 4, 2013",0.193
"Jul 20, 2013",0.182
"Aug 5, 2013",0.18
"Aug 21, 2013",0.174
"Sep 6, 2013",0.169
"Oct 24, 2013",0.154
"Dec 27, 2013",0.147
"Feb 13, 2014",0.215
"Apr 2, 2014",0.289
"Apr 18, 2014",0.283
"May 4, 2014",0.238
"May 20, 2014",0.232
"Jun 21, 2014",0.106
"Jul 7, 2014",0.204
"Jul 23, 2014",0.199
"Aug 8, 2014",0.192
"Aug 24, 2014",0.184
"Sep 9, 2014",0.168
"Sep 25, 2014",0.158
"Oct 27, 2014",0.154
"Dec 30, 2014",0.245
"Jan 31, 2015",0.272
"Apr 5, 2015",0.308
"Apr 21, 2015",0.27
"May 7, 2015",0.263
"Jun 8, 2015",0.212
"Jul 10, 2015",0.207
"Jul 26, 2015",0.2
"Aug 11, 2015",0.193
"Aug 27, 2015",0.163
"Sep 28, 2015",0.172
"Oct 14, 2015",0.168
"Feb 3, 2016",0.263
"Feb 19, 2016",0.287
"Apr 7, 2016",0.313
"Apr 23, 2016",0.27
"May 25, 2016",0.237
"Jun 10, 2016",0.227
"Jun 26, 2016",0.212
"Jul 12, 2016",0.207
"Jul 28, 2016",0.199
"Aug 13, 2016",0.192
"Aug 29, 2016",0.171
"Sep 14, 2016",0.178
"Sep 30, 2016",0.171
"Jan 20, 2017",0.191
"Feb 5, 2017",0.215
"Feb 21, 2017",0.248
"Mar 9, 2017",0.282
"Mar 25, 2017",0.244
"May 12, 2017",0.235
"May 28, 2017",0.222
"Jun 13, 2017",0.214
"Jun 29, 2017",0.206
"Jul 15, 2017",0.198
"Jul 31, 2017",0.19
"Aug 16, 2017",0.17
"Sep 1, 2017",0.138
"Sep 17, 2017",0.167
"Oct 3, 2017",0.139
"Oct 19, 2017",0.149
"Nov 4, 2017",0.121
"Jan 7, 2018",0.214
"Mar 12, 2018",0.336
"Apr 13, 2018",0.249
"Apr 29, 2018",0.25
"May 15, 2018",0.243
"Jun 16, 2018",0.203
"Jul 2, 2018",0.201
"Jul 18, 2018",0.195
"Aug 19, 2018",0.108
"Sep 4, 2018",0.177
"Sep 20, 2018",0.174
"Oct 22, 2018",0.155
"Nov 7, 2018",0.059
"Dec 25, 2018",0.256
"Jan 10, 2019",0.268
"Jan 26, 2019",0.271
"May 18, 2019",0.277
"Jun 3, 2019",0.255
"Jun 19, 2019",0.251
"Jul 5, 2019",0.23
"Jul 21, 2019",0.222
"Aug 6, 2019",0.181
"Aug 22, 2019",0.205
"Sep 23, 2019",0.192
"Oct 9, 2019",0.187
"Nov 26, 2019",0.146
"Apr 18, 2020",0.341
"May 4, 2020",0.315
"May 20, 2020",0.259
"Jun 5, 2020",0.256
"Jun 21, 2020",0.238
"Jul 7, 2020",0.222
"Jul 23, 2020",0.219
"Aug 8, 2020",0.17
"Aug 24, 2020",0.207
"Sep 9, 2020",0.188
"Sep 25, 2020",0.195
"Oct 11, 2020",0.179
"Nov 12, 2020",0.179
"Dec 30, 2020",0.257
