DATE,NDVI_RAW
"Jan 9, 2013",-0.111
"Jan 10, 2013",-0.075
"Jan 11, 2013",0.261
"Jan 12, 2013",0.114
"Jan 13, 2013",0.547
"Jan 14, 2013",0.531
"Jan 15, 2013",0.591
"Jan 16, 2013",0.519
"Jan 17, 2013",0.552
"Jan 18, 2013",0.521
"Jan 19, 2013",0.568
"Jan 20, 2013",0.569
"Jan 21, 2013",0.539
"Jan 22, 2013",0.559
"Jan 23, 2013",0.471
"Jan 24, 2013",0.543
"Jan 25, 2013",-0.04
"Jan 26, 2013",0.579
"Jan 27, 2013",0.521
"Jan 28, 2013",0.45
"Jan 29, 2013",-0.084
"Jan 30, 2013",0.003
"Jan 31, 2013",-0.03
"Feb 1, 2013",-0.003
"Feb 2, 2013",0.112
"Feb 3, 2013",0.625
"Feb 4, 2013",0.574
"Feb 5, 2013",-0.048
"Feb 6, 2013",-0.138
"Feb 7, 2013",0.595
"Feb 8, 2013",0.537
"Feb 9, 2013",0.575
"Feb 10, 2013",0.367
"Feb 11, 2013",0.083
"Feb 12, 2013",-0.034
"Feb 13, 2013",0.607
"Feb 14, 2013",-0.076
"Feb 15, 2013",0.142
"Feb 16, 2013",0
"Feb 17, 2013",0.045
"Feb 18, 2013",0.632
"Feb 19, 2013",0.032
"Feb 20, 2013",0.583
"Feb 21, 2013",0.606
"Feb 22, 2013",0.541
"Feb 23, 2013",-0.004
"Feb 24, 2013",0.044
"Feb 25, 2013",0.122
"Feb 26, 2013",0.585
"Feb 27, 2013",0.58
"Feb 28, 2013",0.216
"Mar 1, 2013",0.397
"Mar 2, 2013",0.574
"Mar 3, 2013",0.383
"Mar 4, 2013",0.479
"Mar 5, 2013",0.151
"Mar 6, 2013",0.486
"Mar 7, 2013",0.583
"Mar 8, 2013",0.466
"Mar 9, 2013",0.539
"Mar 10, 2013",0.543
"Mar 11, 2013",0.532
"Mar 12, 2013",0.472
"Mar 13, 2013",0.526
"Mar 14, 2013",0.491
"Mar 15, 2013",0.539
"Mar 16, 2013",0.434
"Mar 17, 2013",-0.109
"Mar 18, 2013",0.21
"Mar 19, 2013",0.013
"Mar 20, 2013",0.576
"Mar 21, 2013",0.548
"Mar 22, 2013",0.269
"Mar 23, 2013",0.025
"Mar 24, 2013",0.517
"Mar 25, 2013",0.568
"Mar 26, 2013",0.487
"Mar 27, 2013",0.181
"Mar 28, 2013",0.544
"Mar 29, 2013",0.516
"Mar 30, 2013",0.107
"Mar 31, 2013",0.322
"Apr 1, 2013",0.222
"Apr 2, 2013",0.26
"Apr 3, 2013",0.519
"Apr 4, 2013",0.144
"Apr 5, 2013",-0.105
"Apr 6, 2013",0.477
"Apr 7, 2013",0.485
"Apr 8, 2013",0.217
"Apr 9, 2013",0.18
"Apr 10, 2013",0.013
"Apr 11, 2013",-0.064
"Apr 12, 2013",0.513
"Apr 13, 2013",0.34
"Apr 14, 2013",0.493
"Apr 15, 2013",0.568
"Apr 16, 2013",-0.002
"Apr 17, 2013",-0.078
"Apr 18, 2013",0.226
"Apr 19, 2013",0.049
"Apr 20, 2013",0.084
"Apr 21, 2013",-0.008
"Apr 22, 2013",-0.026
"Apr 23, 2013",0.256
"Apr 24, 2013",0.509
"Apr 25, 2013",0.477
"Apr 26, 2013",0.496
"Apr 27, 2013",0.478
"Apr 28, 2013",0.486
"Apr 29, 2013",0.474
"Apr 30, 2013",0.444
"May 1, 2013",0.293
"May 2, 2013",0.387
"May 3, 2013",0.271
"May 4, 2013",0.442
"May 5, 2013",0.447
"May 6, 2013",0.465
"May 7, 2013",0.451
"May 8, 2013",0.257
"May 9, 2013",0.199
"May 10, 2013",0.466
"May 11, 2013",0.472
"May 12, 2013",0.117
"May 13, 2013",0.192
"May 14, 2013",0.502
"May 15, 2013",0.376
"May 16, 2013",0.236
"May 17, 2013",0.07
"May 18, 2013",0.399
"May 19, 2013",0.004
"May 20, 2013",0.432
"May 21, 2013",0.466
"May 22, 2013",0.459
"May 23, 2013",0.42
"May 24, 2013",0.417
"May 25, 2013",0.399
"May 26, 2013",0.477
"May 27, 2013",0.422
"May 28, 2013",0.477
"May 29, 2013",0.401
"May 30, 2013",0.323
"May 31, 2013",0.398
"Jun 1, 2013",0.438
"Jun 2, 2013",0.35
"Jun 3, 2013",0.39
"Jun 4, 2013",0.468
"Jun 5, 2013",0.429
"Jun 6, 2013",0.439
"Jun 7, 2013",0.435
"Jun 8, 2013",0.327
"Jun 9, 2013",0.215
"Jun 10, 2013",0.442
"Jun 11, 2013",0.461
"Jun 12, 2013",0.402
"Jun 13, 2013",0.47
"Jun 14, 2013",0.418
"Jun 15, 2013",0.451
"Jun 16, 2013",0.461
"Jun 17, 2013",0.425
"Jun 18, 2013",0.488
"Jun 19, 2013",0.402
"Jun 20, 2013",0.442
"Jun 21, 2013",0.434
"Jun 22, 2013",0.442
"Jun 23, 2013",0.436
"Jun 24, 2013",0.442
"Jun 25, 2013",0.431
"Jun 26, 2013",0.423
"Jun 27, 2013",0.451
"Jun 28, 2013",0.414
"Jun 29, 2013",0.435
