DATE,NDVI_RAW
"Jan 4, 2017",0.072
"Jan 30, 2017",0.127
"Feb 1, 2017",0.015
"Apr 12, 2017",0.026
"Apr 17, 2017",0.148
"Apr 21, 2017",0.091
"Apr 23, 2017",0.008
"Apr 27, 2017",-0.022
"May 2, 2017",0.084
"May 4, 2017",0.026
"May 11, 2017",0.058
"May 26, 2017",0.057
"May 31, 2017",0.05
"Jun 7, 2017",0.066
"Jun 9, 2017",0.022
"Jun 13, 2017",0.04
"Jun 16, 2017",0.048
"Jun 20, 2017",-0.102
"Jun 22, 2017",0.034
"Jun 24, 2017",0.036
"Jul 4, 2017",0.014
"Jul 6, 2017",-0.015
"Jul 8, 2017",0.022
"Jul 10, 2017",-0.016
"Jul 11, 2017",-0.02
"Jul 12, 2017",-0.041
"Jul 14, 2017",0.022
"Jul 15, 2017",0.017
"Jul 17, 2017",-0.005
"Jul 19, 2017",0.013
"Jul 21, 2017",-0.006
"Jul 23, 2017",0
"Jul 28, 2017",0
"Jul 29, 2017",0.001
"Jul 31, 2017",0.026
"Aug 1, 2017",0
"Aug 2, 2017",0.015
"Aug 3, 2017",-0.01
"Aug 4, 2017",0.001
"Aug 10, 2017",-0.013
"Aug 11, 2017",-0.012
"Aug 14, 2017",-0.003
"Aug 15, 2017",-0.017
"Aug 16, 2017",-0.085
"Aug 18, 2017",0.034
"Aug 19, 2017",-0.027
"Aug 20, 2017",-0.044
"Aug 21, 2017",-0.026
"Aug 24, 2017",-0.022
"Aug 25, 2017",-0.037
"Aug 26, 2017",-0.02
"Aug 28, 2017",-0.023
"Aug 31, 2017",-0.018
"Sep 3, 2017",-0.038
"Sep 4, 2017",-0.03
"Sep 7, 2017",-0.01
"Sep 11, 2017",-0.081
"Sep 12, 2017",-0.028
"Sep 14, 2017",-0.058
"Sep 16, 2017",-0.027
"Sep 17, 2017",-0.043
"Sep 22, 2017",-0.03
"Sep 23, 2017",-0.049
"Sep 25, 2017",-0.032
"Oct 18, 2017",-0.038
"Nov 8, 2017",-0.046
"Nov 26, 2017",-0.088
"Dec 2, 2017",0.011
"Dec 9, 2017",0.034
"Dec 10, 2017",0.016
"Dec 12, 2017",-0.041
"Dec 15, 2017",-0.053
"Dec 17, 2017",0.018
"Jan 22, 2018",0.065
"Jan 31, 2018",0.193
"Feb 1, 2018",0.191
"Feb 9, 2018",0.153
"Feb 14, 2018",0.206
"Feb 20, 2018",0.051
"Feb 22, 2018",0.174
